product_key,name,transition,old_recipe_id,new_recipe_id,old_candidate,new_candidate,review_reasons
perekrestok:2157530,"Лазанья мясная Золотой Петушок, 370г",matched->review,foodru_31347,,Лазанья с мясом,Лазанья с мясом,mixed_ingredient_group
perekrestok:3454946,"Чебуреки Горячая штучка со свининой и говядиной, 360г",review->matched,,foodru_237016,Чебуреки с фаршем из свинины и говядины,Чебуреки с фаршем из свинины и говядины,
perekrestok:3653170,"Торт Топ Шеф Миндальный замороженный, 350г",review->matched,,foodru_180060,Торт миндальный,Торт миндальный,
perekrestok:4133219,"Винегрет овощной с маслом Перекрёсток Select, 500г",review->matched,,foodru_207474,Винегрет с овощами на оливковом масле,Винегрет с овощами на оливковом масле,
perekrestok:4221854,"Жареный рис по-азиатски с креветками Перекрёсток Select, 250г",review->matched,,foodru_116791,Рис с креветками и карри по-азиатски,Рис по-азиатски,
perekrestok:4261613,"Шпроты в масле из Балтийской кильки Маркет, 160г",review->matched,,foodru_157992,Вкусные домашние шпроты из кильки,Вкусные домашние шпроты из кильки,
perekrestok:4371075,"Хашбраун Зимняя Радуга картофельный жареный замороженный, 400г",review->matched,,foodru_43818,Хашбраун (картофельные оладьи),Хашбраун (картофельные оладьи),
perekrestok:4396957,"Чебупели Горячая Штучка сочные с мясом, 240г",matched->review,foodru_1488,,Фарш для пельменей,Фарш для пельменей,component_recipe_not_whole_dish
perekrestok:4401909,"Курица терияки на рисе Перекрёсток Select, 215г",review->matched,,foodru_103540,Нежная курочка терияки с рисом,Нежная курочка терияки с рисом,
perekrestok:4402245,"Спаржа с морковью по-корейски Перекрёсток Select, 200г",matched->matched,foodru_55726,foodru_89008,Спаржа по-корейски с морковью,Салат из спаржи с морковью по-корейски,
perekrestok:4410398,"Клаб Сэндвич двойной с бужениной Перекрёсток Select, 180г",review->matched,,foodru_76435,Тост с бужениной,Тост с бужениной,
perekrestok:4425837,"Пирог Осетинский с картофелем и сыром Перекрёсток Select, 200г",matched->matched,foodru_46251,foodru_121272,Осетинский пирог с картошкой и сыром,Осетинский пирог с сыром и картофелем,
perekrestok:4427468,"Бефстроганов Слимкафе из курицы с грибами-овощами, 250г",review->matched,,foodru_235063,Бефстроганов из курицы с грибами,Бефстроганов из курицы с грибами,
perekrestok:4428530,"Соус Чесночный майонезный Перекрёсток Select, 30г",review->matched,,foodru_783,Сметанно-чесночный соус на майонезе,Сметанно-чесночный соус на майонезе,
perekrestok:4428967,"Тортилья с куриным филе хашбрауном и овощами Перекрёсток Select, 245г",review->matched,,foodru_11974,Тортилья с курицей и хашбрауном,Тортилья с курицей и хашбрауном,
perekrestok:4430712,"Курица Терияки Asiatique с рисом, 280г",review->matched,,foodru_103540,Нежная курочка терияки с рисом,Нежная курочка терияки с рисом,
perekrestok:4430871,"Лапша с Курицей Терияки Asiatique, 280г",review->matched,,foodru_1667,Курица терияки с лапшой,Курица терияки с лапшой,
perekrestok:4432804,"Соус Махеевъ Бургер-соус, 200г",review->matched,,foodru_199707,Классический соус для бургеров,Классический соус для бургеров,
perekrestok:4433332,"Хычин Delis Frost с картошкой и сыром замороженный, 580г",review->matched,,foodru_206648,Хычины с сыром и картофелем,Хычины с сыром и картофелем,
