chain,plu,product_name,status,rank,recipe_id,recipe_title,score,missing_components,extra_components,missing_recipe_ingredients,mixed_ingredient_groups,review_reasons,source_url
perekrestok,2157530,"Лазанья мясная Золотой Петушок, 370г",review,1,foodru_31347,Лазанья с мясом,1.0,,,,Для соуса бешамель и подачи,mixed_ingredient_group,https://food.ru/recipes/31347-lazanja-s-mjasom
perekrestok,2157530,"Лазанья мясная Золотой Петушок, 370г",review,2,foodru_150923,Мясная лазанья со специями и соусом бешамель,0.8658,,"beshamel, spec",,,extra_recipe_components,https://food.ru/recipes/150923-miasnaia-lazania-1666275548
perekrestok,2157530,"Лазанья мясная Золотой Петушок, 370г",review,3,foodru_235412,Классическая лазанья болоньезе,0.57,,bolognese,,,"extra_recipe_components, low_name_score",https://food.ru/recipes/235412-lazanja-boloneze-klassicheskii-recept
perekrestok,3196973,Сайра 5 Морей тихоокеанская натуральная 250г,review,1,foodru_204557,Салат из сайры с сыром и яйцом,0.3478,"more, naturalna, tihookeanska","aicom, cheese",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/204557-salat-iz-sairy
perekrestok,3196973,Сайра 5 Морей тихоокеанская натуральная 250г,review,2,foodru_160301,Овощной салат «Море» с майонезом,0.3475,"naturalna, sair, tihookeanska",maionez,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/160301-salat-more-1676460362
perekrestok,3196973,Сайра 5 Морей тихоокеанская натуральная 250г,review,3,foodru_125641,Натуральная кокосовая стружка,0.2937,"more, sair, tihookeanska","coconut, struzhk",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/125641-naturalnaia-kokosovaia-struzhka-1646313099
perekrestok,3273892,"Блины С Пылу с Жару с творогом, 360г",matched,1,foodru_530,Блины с творогом,1.0,,,,,,https://food.ru/recipes/530-bliny-s-tvorogom
perekrestok,3273892,"Блины С Пылу с Жару с творогом, 360г",matched,2,foodru_49015,Блинчики с творогом,1.0,,,,Для жарки и подачи,mixed_ingredient_group,https://food.ru/recipes/49015-blinchiki-s-tvorogom
perekrestok,3273892,"Блины С Пылу с Жару с творогом, 360г",matched,3,foodru_75962,Блинчики с семгой и творожным сыром,0.8872,,"cheese, salmon",,,extra_recipe_components,https://food.ru/recipes/75962-blinchiki-s-semgoi-i-tvorozhnym-syrom
perekrestok,3403377,"Блины С Пылу с Жару без начинки, 360г",matched,1,foodru_67633,Классические блинчики,1.0,,,,,,https://food.ru/recipes/67633-klassicheskie-blinchiki
perekrestok,3403377,"Блины С Пылу с Жару без начинки, 360г",matched,2,foodru_1601,Блины с начинкой,1.0,,,,,unrequested_pancake_filling,https://food.ru/recipes/1601-bliny-s-nachinkoi
perekrestok,3403377,"Блины С Пылу с Жару без начинки, 360г",matched,3,foodru_71513,Домашние блины с курицей,0.9059,,chicken,,,"extra_recipe_components, filling_conflict, unrequested_pancake_filling",https://food.ru/recipes/71513-domashnie-bliny-s-kuricei
perekrestok,3405758,"Блины С Пылу с Жару с курицей, 360г",matched,1,foodru_71513,Домашние блины с курицей,1.0,,,,,,https://food.ru/recipes/71513-domashnie-bliny-s-kuricei
perekrestok,3405758,"Блины С Пылу с Жару с курицей, 360г",matched,2,foodru_15244,Блины с курицей,1.0,,,,,,https://food.ru/recipes/15244-bliny-s-kuricei
perekrestok,3405758,"Блины С Пылу с Жару с курицей, 360г",matched,3,foodru_116979,Куриные блинчики,1.0,,,,,,https://food.ru/recipes/116979-kurinye-blinchiki-1645249368
perekrestok,3416332,"Чебупицца Горячая штучка пепперони, 250г",review,1,foodru_1524,Пицца с пеперони,0.7882,chebupicc,pizza,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components",https://food.ru/recipes/1524-picca-s-peperoni
perekrestok,3416332,"Чебупицца Горячая штучка пепперони, 250г",review,2,foodru_229302,Мини-пицца «А-ля пепперони»,0.7882,chebupicc,pizza,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components",https://food.ru/recipes/229302-mini-pitstsa-a-lia-pepperoni-1726694900
perekrestok,3416332,"Чебупицца Горячая штучка пепперони, 250г",review,3,foodru_52068,Домашние колбаски пеперони,0.7862,chebupicc,sausage,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components",https://food.ru/recipes/52068-domashnie-kolbaski-pepperone
perekrestok,3421780,"Чебупицца Горячая штучка курочка по-итальянски, 250г",review,1,foodru_141555,Курочка по-итальянски,0.9292,chebupicc,,,,"dish_family_unconfirmed, missing_named_components",https://food.ru/recipes/141555-kurochka-po-italianski-1653419837
perekrestok,3421780,"Чебупицца Горячая штучка курочка по-итальянски, 250г",review,2,foodru_130383,Курочка по-итальянски с грибами,0.865,chebupicc,mushroom,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components",https://food.ru/recipes/130383-kurochka-po-italianski-1648013434
perekrestok,3421780,"Чебупицца Горячая штучка курочка по-итальянски, 250г",review,3,foodru_71513,Домашние блины с курицей,0.304,"chebupicc, italansk",pancake,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/71513-domashnie-bliny-s-kuricei
perekrestok,3426375,"Блины С Пылу с Жару с ветчиной и сыром, 360г",matched,1,foodru_106570,Блины с ветчиной и сыром,1.0,,,,,,https://food.ru/recipes/106570-bliny-s-vetchinoi-i-syrom-1643973566
perekrestok,3426375,"Блины С Пылу с Жару с ветчиной и сыром, 360г",matched,2,foodru_72111,Блины с ветчиной и сыром,1.0,,,,,,https://food.ru/recipes/72111-bliny-s-vetchinoi-i-syrom
perekrestok,3426375,"Блины С Пылу с Жару с ветчиной и сыром, 360г",matched,3,foodru_102304,Завтрак из омлетного блина с ветчиной и сыром,0.8898,,omelette,,,extra_recipe_components,https://food.ru/recipes/102304-zavtrak-iz-omletnogo-blina-s-vetchinoi-i-syrom-1643448028
perekrestok,3435321,"Хотстеры Горячая штучка, 250г",unmatched
perekrestok,3446271,"Крылышки Горячая штучка Острые к пиву хрустящие, 300г",review,1,foodru_1909,Крылышки к пиву,0.7207,ostr,,,,"dish_family_unconfirmed, missing_named_components",https://food.ru/recipes/1909-krylyshki-k-pivu
perekrestok,3446271,"Крылышки Горячая штучка Острые к пиву хрустящие, 300г",review,2,foodru_112744,Вкусные острые крылышки,0.7207,pivu,,,,"dish_family_unconfirmed, missing_named_components",https://food.ru/recipes/112744-vkusnye-ostrye-krylyshki
perekrestok,3446271,"Крылышки Горячая штучка Острые к пиву хрустящие, 300г",review,3,foodru_127000,Крылышки барбекю,0.3369,"ostr, pivu",barbek,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/127000-krylyshki-barbekiu-1646483459
perekrestok,3454946,"Чебуреки Горячая штучка со свининой и говядиной, 360г",matched,1,foodru_237016,Чебуреки с фаршем из свинины и говядины,0.9574,,,,,,https://food.ru/recipes/237016-chebureki-s-farshem-iz-svininy-i-govyadiny-1733622924
perekrestok,3454946,"Чебуреки Горячая штучка со свининой и говядиной, 360г",matched,2,foodru_157608,Рис со свининой и говядиной,0.631,cheburek,rice,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/157608-ris-so-svininoy-i-govyadinoy-1674646804
perekrestok,3454946,"Чебуреки Горячая штучка со свининой и говядиной, 360г",matched,3,foodru_119219,Чебуреки с мясом по авторскому рецепту,0.3795,"beef, pork",,"beef, pork",,"missing_named_components, named_ingredient_unconfirmed, protein_unconfirmed_in_ingredients, low_name_score",https://food.ru/recipes/119219-chebureki-s-miasom-1645615583
perekrestok,3463947,Паста Санта Бремор антарктик криль классический из морепродуктов 150г,review,1,foodru_2804,Спагетти с морепродуктами,0.6457,"antarktik, kril",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/2804-spagetti-s-moreproduktami
perekrestok,3463947,Паста Санта Бремор антарктик криль классический из морепродуктов 150г,review,2,foodru_58012,Сливочная паста с морепродуктами,0.5754,"antarktik, kril",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/58012-slivochnaja-pasta-s-moreproduktami
perekrestok,3463947,Паста Санта Бремор антарктик криль классический из морепродуктов 150г,review,3,foodru_45437,Паста с морепродуктами в сливочном соусе,0.5485,"antarktik, kril",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/45437-pasta-s-moreproduktami-v-slivochnom-souse
perekrestok,3463948,"Паста Санта Бремор Антарктик криль подкопчённый из морепродуктов, 150г",review,1,foodru_2804,Спагетти с морепродуктами,0.623,"antarktik, kril, podkopch",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/2804-spagetti-s-moreproduktami
perekrestok,3463948,"Паста Санта Бремор Антарктик криль подкопчённый из морепродуктов, 150г",review,2,foodru_58012,Сливочная паста с морепродуктами,0.5526,"antarktik, kril, podkopch",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/58012-slivochnaja-pasta-s-moreproduktami
perekrestok,3463948,"Паста Санта Бремор Антарктик криль подкопчённый из морепродуктов, 150г",review,3,foodru_45437,Паста с морепродуктами в сливочном соусе,0.5258,"antarktik, kril, podkopch",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/45437-pasta-s-moreproduktami-v-slivochnom-souse
perekrestok,3463949,"Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г",review,1,foodru_58012,Сливочная паста с морепродуктами,0.6251,"antarktik, garlic, kril",,garlic,,"missing_named_components, retail_spread_not_pasta, named_ingredient_unconfirmed, low_name_score",https://food.ru/recipes/58012-slivochnaja-pasta-s-moreproduktami
